,model_hidden_channels,model_num_layers,model_activation,model_num_iters,model_epsilon,model_normalization,model_use_dissipation,model_use_forcing,model_fix_resistance,model_in_channels,model_out_channels,data_path,model,model_instance,ckpt_path,epochs,verbose,early_stopping,conf_id,seed,m,distance,debug,root,parallelism,batch,ncpus,ngpus,mean_train_loss,std_train_loss,mean_val_loss,std_val_loss,mean_test_loss,std_test_loss
809,64,1,tanh,100,0.2,sym,True,False,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id203_seed100.pt,2000,True,100,sonar_203,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.10321564624999999,0.14720916692204913,0.10265623075000001,0.1467253689544099,0.10264769750000001,0.14669030175079614
84,64,1,tanh,50,1.0,rw,False,True,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id21_seed200.pt,2000,True,100,sonar_21,200,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.15783146325,0.18463852493399463,0.10529287199999998,0.10094529687875604,0.10529292199999998,0.10094537203870844
138,64,1,tanh,50,0.5,sym,True,False,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id35_seed100.pt,2000,True,100,sonar_35,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.110233013,0.1538300521546782,0.10668692425000001,0.14782431942509186,0.10669571675000002,0.14784875919830723
627,64,1,tanh,100,1.0,sym,False,True,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id157_seed100.pt,2000,True,100,sonar_157,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.102885641,0.08128944546339475,0.10671237674999998,0.08559168714397339,0.10671610324999999,0.08559320111015144
604,64,1,tanh,100,1.0,,False,False,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id151_seed400.pt,2000,True,100,sonar_151,400,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.13147557625,0.09380168980297185,0.1261205815,0.08591569700677912,0.1261205815,0.08591569700677912
20,64,1,tanh,50,1.0,,False,True,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id5_seed100.pt,2000,True,100,sonar_5,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.17886951699999998,0.3116682397189702,0.133629165,0.2222262025041521,0.1336288975,0.22222566761420323
148,64,1,tanh,50,0.5,sym,False,True,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id37_seed100.pt,2000,True,100,sonar_37,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.126931954825,0.21996648647663272,0.1341552695,0.2341598287406705,0.1341553075,0.23415990337473738
831,64,1,tanh,100,0.2,rw,True,True,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id208_seed100.pt,2000,True,100,sonar_208,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.16823298100000003,0.17750894951190938,0.15651527425,0.1624936583531035,0.15652907175,0.16251430459606328
59,64,1,tanh,50,1.0,sym,False,False,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id15_seed200.pt,2000,True,100,sonar_15,200,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.21361579775,0.3120389634055312,0.19980629425,0.28785568654102783,0.199757739,0.2877592112391099
760,64,1,tanh,100,0.5,rw,False,False,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id190_seed100.pt,2000,True,100,sonar_190,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.24744794325000002,0.17356368660335675,0.23118294499999997,0.13349017979455455,0.23118277,0.13349000646584475
